Date,Rating,User,Review
"August 30, 2019",1,Chip Sprague,Not mobile friendly at all. Does not rotate to read information provided by teachers must scroll each line left to right to read. Very difficult to navigate and not designed for parents. Must navigate multiple pages to get to your child's page. Not user friendly. I do hope they make major changes for parents.
"February 20, 2019",2,Stacey Rodriguez,The app is not very easy to use. There a lot of menus that don't go to where you think would go. One the app updated I thought it would be something that got fixed. I can't check because I got logged off and now can't log back in since I forgot my password. I look for a password recovery help and I don't find any.
"January 6, 2019",1,A Getsch,"Almost useless app. You can look at things but don't try to create/edit an assignment or submit work as a student. Go to a desktop computer or a laptop to do any real work. As a teacher, I wanted to grade and wasted hours grading things that did not get saved. I tell all my students to stop using the app."
"August 25, 2019",5,mer pez,"I must say that your app is very helpful, and I am very grateful to your team for that. If I may, for improvement, I would like to recommend that an option or setting be made available in the gradebook that could separate the male from the female students. This setting may require them to update their gender profiles. I'll look forward to this consideration. Thanks in advance."
"February 17, 2019",2,Beth Rogers,
"February 27, 2019",3,Chidera Anyamene,"Great, Love it this app is amazing and is very useful i got it on my phone to keep up with school work and it works great,keeping in contact with your class and school is a very good standard with this app.I just wish the password wasnt so hard to get into😤😕"
"September 26, 2018",2,Jeff Young,
"September 12, 2019",1,Kelley Taylor,
"September 6, 2019",1,S I,I have all my settings set up to send push and email notifications. I receive nothing! I constantly have to open the app to check instead of it working like it should be and send me notifications. I have checked all my phone settings and still doesnt work.
"February 25, 2019",1,A Google user,This app doesn't work I can't login to my student account and it keeps yelling me that there's an error every time and my friends can't figure out why its happening to me while it's working just fine for them.
"June 13, 2019",2,Nisarg Patel,I have had really bad experiences with the interface. It looks and feels outdated while the one on ios looks and operates way better. A lot of improvements need to be done in the ui and perfomance too. Please make the necessary changes.
"September 11, 2019",1,Lindsey Bergmann,Terrible app for Android. Nothing fits the screen. Hit the back button and you exit the app instead of going to the previous screen. Horrible to navigate. Worst part of my day is trying to navigate and scroll to find things on this app.
"December 10, 2018",1,Shravan Balaji,"For me I'll never forget how much trouble I had when submitting my assignments. Every time or almost every time when I submit, it gets deleted or never gets recieved by teacher. And to submit a document, it needs to be one file unfortunately. Thank god I'm a senior and that my time with schoology is almost over. Off for college!!!"
"October 3, 2018",1,Ally G,
"November 22, 2019",1,Shirley Joubert,It doesn't allow me to access hardly any of the information I need to see. Waste of time. Problem is I can't stop using it because my teachers keep uploading stuff to it.
"August 21, 2019",3,Pink kitten,I cannot get into my account on the app but on the website I can get in just fine. I type everything right and it says its incorrect. but for the 3 years I used it it was okay
"October 29, 2019",1,Andria Thompson,"Useless app!!!! I can't open any documents or login to the links for my kid's textbooks. Parent login is a joke! I can only view my kids Schoology page, unable to access any links. Both the app and the website are terrible when logged in as a parent!"
"September 10, 2019",1,Lillie Tokheim,I use schoology on my computer all the time so I know my login info. However the app refuses to let me login stating I have the wrong username or password. Very unfortunate since I needed to use the app for an assaignment.
"October 7, 2019",2,Angel Albus,This app is great. But it is hard to log out and religion. This is annoying to have to keep loving back in and then being told I am locked out. This needs to be fixed as soon as possible.
"August 19, 2019",3,XxWolfiexX,I like it but sometimes I wished it didn't existed because sometimes you gotta wait a long time to load and you use it a lot in school!!!!☹☹
"May 16, 2020",1,Rajeev Kumar,I trried to login so many time but it always show wrong username or password.so please help me
"September 30, 2019",4,Ronald Jinks,"This app is great. Only problem is, I can't send messages. It doesn't 'auto-populate' like it says in support. Most of my kids teachers need students to send them direct messages but she can't even do that."
"June 29, 2019",1,Tracey Law,"Frustrating! Resources folders never load when you want to look at the documents. Just keep getting the same page reappearing with the status ""loading"". Basically, I can't access anything that I would actually find useful!"
"September 20, 2019",1,Monica Nakagawa,"It used to work great, now every time I use it it says I can't do that until I install the app which is hilarious BECAUSE I'M USING THE APP. And I'm forced to use this garbage by my kid's school, so, awesome."
"October 10, 2019",2,Jacob DeHaven,"Navigation needs a lot of work! Also, the messaging feature does not pop up the keyboard anymore so can't type messages to teachers. Please fix"
"October 25, 2018",2,Candace Taylor,
"September 13, 2019",2,Bryan Boutz,Apparently this is just wrapping the website with an authentication layer and notifications. Pages are not even optimized for use on mobile devicesnand some content says to open the app which i am in.
"February 11, 2020",5,Silva Irmiter,"This is a great app for schoolwork, Notes,assignments. Its great for when i forget a textbok or important thing because I can copy it off with schoology!"
"October 10, 2018",1,Chris B,Hate this program so very much. Impossibly complicated and lacking proper documentation or customer support.  Still can't do such essential tasks as.... adding a single grade!! Avoid!!
"May 11, 2019",1,Yeu Han Law,"the app is not functioning at all, i cant access to the files, a lot ppl experience the same problem too, some dude posted the same issue 2 months ago n apparently its still not resolved"
"August 22, 2019",2,Stacy H,"Since the last update, now there's a big, blue square with the person's name and school blocking the courses section that you can't click off of."
"December 4, 2018",2,A Google user,
"September 18, 2019",1,stanly fisher,"Submit button not responding, can't submit, and when i go back to menu the app went black. When i resume the task i started from the beginning again, very bad app!!!"
"August 18, 2019",2,El Pinguino,"Not bad, but I'm rsting two stars just because they have failed to update the app to the newer and more intuitive UI thats on the iOS version, please update this app to the newer version"
"March 18, 2019",4,idkwhattosay roblox,I love this app because you don't have to login again and again. There is a problem that it doesn't let you answer the discussion.
"November 11, 2019",5,Kamara Dorsey,Very Useful for me to keep up with all of my assignments also it is very useful for studnet to teacher assignment conversations. Also some times its a little slow but overall it is a great app to use.
"September 17, 2019",1,Christine Chowdhury,"Unable to give anything more because the app is useless at this time. It will not let me open any files, let alone download anything."
"November 3, 2019",1,Greg Carter,"I can't speak about the experience on Apple devices, but on Android this has got to be the worst app I've ever used. It really needs to be completely revamped for mobile devices."
"August 24, 2019",2,Amanda von Herrmann,Difficult to navigate through app. Closes when you try to go back to previous.
"August 31, 2019",1,Joh D,
"January 13, 2020",3,True darkne22,Can't view previous days for things
"August 21, 2019",1,Tatiana Randle,"The app won't let me open ANY folders in my courses or groups, and there are currently no updates available. What's the issue? I need this app to perform much better!"
"September 17, 2018",1,Rohit Darji,
"August 22, 2019",3,Nita Guzman,I loved it last year but the latest update makes the app confusing to read and utilize.
"October 11, 2019",5,Sonido Fantastico pa,It's very useful when I'm absent from my school my teachers leave very nice sentences on what we did and what my homework is but that's that and it also has a calendar with is very neat for my important events but yes it's great especially that I can email my Teachers
"January 18, 2019",3,Pamela Wagoner,"locks up a lot, then i have to turn my phone off. I uninstalled it and now im reinstalling the app to try to work out bug. Please fix this ?"
"June 25, 2019",1,Catherine Gomez,no matter how many times i put on my CORRECT password and email it still wont let me in. i spent so much time to make this blasted thing work. useless
"September 21, 2018",1,edgar david,
"August 6, 2019",3,Alif Raynur,"i think overall features been great so far, just add material design in the app, this design is so far back to android kitkat."
"August 11, 2019",1,Emma,
"September 3, 2019",1,Natalie Epshtein,I couldn't sign on with my school email and password. I have tried many times and still can't get on.
"September 25, 2019",1,Tim Artz,
"April 11, 2019",1,Kirai Okamī,it was working fine for a while but now whether I try to log in correctly it won't allow me to do so
"January 31, 2019",5,A Google user,
"November 17, 2018",1,Santi Moore,
"September 17, 2019",5,Ronnell Wilson,"So far, it's the best ways to manage the classroom. If they could add an PBIS system similar to hero and not kiddie as Dojo, this app would be god level."
"September 26, 2018",5,Kat LEGEND11,
"January 10, 2020",1,Anne Boggs,Horrible. This app really sucks yeah you get to see your child's grade but it doesn't tell you the work that they've done it just says it's subject and a grade. It would be better if we could see our child's work that has been graded instead of a subject. Do not recommend this app do not install do not waste your time
"September 25, 2019",2,Ken Moser,Can't view (or even download) any PDF files from the app. Error message says content cannot be displayed - download the Schoology app.
"November 21, 2019",3,James Taylor,
"January 5, 2019",3,Viktor Villamil,Can you please optimize the app so the loading times would be better. It it a painful 5-10 mins to load a single assignment.
"March 28, 2019",1,Lorena Alexandra Romo,I cant log in to my account at alllll!!! I have my email and password correct and it even works on the website but I cant log in to the app PLEASE HELP
"October 29, 2019",2,Ellie T,Layout is not intuitive like the Web version. Can't open PDFs and view grades properly too.
"September 16, 2019",2,Fairuz Olivia,Can't open pdf files. Everytime i tried to open the pdf files it says download the app when I'm using the app to open it
"November 16, 2018",1,Fuzzie Slides,
"October 7, 2018",1,Rakrish Dhakal,
"February 28, 2019",1,Kaitlyn Lockwood,
"April 24, 2019",2,A Google user,
"January 25, 2019",1,Shiloh Newton,"Awful, right after download it wouldnt let me sign in after multiple attempts."
"March 3, 2019",1,Shahnaj Akter,I using this useless thing because my dumb teacher is using it for my class. It takes hours to load anything. it is disorganized. google classroom far more great than this useless thing.
"December 20, 2018",5,Carson Julvezan,I'd be lying if i said I'm not impressed. this was inagrated into my school within a year and im not so impresed with the design of the app it's the flexibility. my school has been able to completely shape this so to their needs and it's definitely the next step in education.
"October 21, 2019",1,Heather Meade,Impossible to navigate.. terrible operations Finding my child's homework or grades is confusing and often wont even load.
"May 14, 2019",1,Aditya Kumar,It does not accept the email or password even then also when I changed my email and password and entered it😡😠very bad app
"September 22, 2018",1,A Google user,
"November 2, 2018",5,Laisha Zuniga-Wangnet,
"March 20, 2019",2,A Google user,"At first everything is going well,but after updating it I couldn't open the app"
"September 12, 2019",1,Lennon Jackson,This is bad. Why can't I access the members of the courses? I need to learn the names of my peers so get help from them if I needed. Please fix this.
"September 19, 2019",4,Angie Hahn,"Mostly happy with Schoology, The app only shows one child's info. Other parents are having the same trouble. Help!"
"November 5, 2018",1,Frank Iknar,
"January 9, 2019",2,Vidalle Angelo Agustin,can't load the events we try to refresh it but it is not working at all
"October 9, 2018",3,Test. Account.,
"September 23, 2019",2,Cupcake,I cannot even upload videos and pictures. Sometimes the assignment won't even show up.
"October 1, 2019",5,abdan redmi,Great Apps to study ! helps students and teacher easy to share lessons and modules !
"August 29, 2019",2,Neya Ahmed,
"December 13, 2018",5,Lexi Poreda,
"January 31, 2020",2,Skyler 1603,"2 stars because not really compatible with Android. I'm as a parent, unable to open attachments."
"September 16, 2019",1,Kate Saylor,It sucks. Tried to open a pdf.for my sons class to print and it told me I needed the app! Which I WAS USING!
"December 23, 2019",3,Rashmi Chandrahas,
"October 20, 2019",4,Jennifer A,
"September 19, 2018",4,JN Baker,
"July 31, 2019",1,Tanish Zuhair,Too laggy. contents don't show sometimes.
"October 7, 2019",1,Christine Price,Terrible app. You cannot access the folders that have the curriculum. It is pointless to have this app if you can't even use it for what it is intended for.
"September 26, 2018",5,Griselda Flores,
"October 4, 2018",2,Earl Bryan Magbitang,
"September 25, 2018",1,Vincent Anthony Rodriguez,
"May 18, 2019",1,420 glow,Google doc doesn't work with the app I cant submit my work ☹
"January 6, 2020",1,Serenity Lee,When you log In it doesn't work
"January 15, 2019",2,Nicole Yet,keep cannot login even I key in the correct password！
"November 12, 2018",1,Caroline Johnson,
"October 25, 2019",5,Aliah Edwards,"This is a great app. My whole school body uses this app. We use this app for assignment project,essay and exam related topics. Without this app slot of work wouldn't be done. Ignore the bad comments u guys did a great job"
"October 31, 2019",4,Anthony Huerta,sometimes laggy but overall its better than going online
"November 20, 2019",4,Muhammad Afthoni,Very nice application But if mobile application or desktops version can't screenshot for students user It's will be became greatest application
"September 20, 2019",1,Christopher McCoy,Barely works. Maybe loads. Not worth using. Just get your teacher's number and text them.
"March 14, 2019",3,A Google user,"I hate this app with a passion, but it is useful for your work organization"
"November 7, 2018",4,Avery Wells,
"February 13, 2020",5,Katja Buch,
"September 18, 2018",5,A Google user,
"December 6, 2018",2,Spencer Noble,
"June 21, 2019",2,Mohammad Ridhwan,The design of the app is too outdated.
"September 26, 2018",5,Noah Czerwinski,
"October 13, 2018",2,A Google user,
"January 22, 2020",1,Casualcouch,It never allows me to log in.
"March 23, 2019",1,xHunter,
"October 3, 2018",5,Owusu Mercy,
"November 2, 2019",1,Juwan 2k,Fix your app I cant sigh in and I'm literally type the same thing on to Google on my phone and I sigh in but this stupid app wont and it says I need the app just to look at wat I gotta do can u fix your damn grading app or sum
"October 24, 2019",1,Ben Blair,Doesn't work won't let me log in. Dumb
"November 4, 2019",1,Re Re Mike,It does not let me get in and i know that i put my correct pasword and email
"September 26, 2018",2,1st Acc,
"September 24, 2019",1,Joe Steitz,
"November 26, 2019",1,Cactusboydude,It literly tells me to download and open the app... when I'm using the app
"September 24, 2019",5,Mayowa Alade,Pioneering the best training school for novice to professional.
"June 11, 2019",5,Kim Youngblood,Good for tracking grades and overall school activities
"September 13, 2019",1,Cam Parrish JCEE4646,Absolutely annoying. Usually when the teacher has put in my assignment my teacher will change the due date because of something going on or that I was absent and the grade doesnt change because the terr teacher xant change it once shes out a grade in.
"March 28, 2019",2,Sarah Moore,I have an android and nothing in the app will load.
"December 10, 2019",5,Angela Rossi,Works out great for my daughter's schooling needs.
"September 28, 2018",5,Nanaquistillalive,
"July 25, 2019",2,albrent ballogan,Cannot send assignments on android apps..
"September 14, 2018",5,Kathleen Ferro,
"September 27, 2018",3,Mijah,
"September 19, 2018",1,Alexis Holsinger,
"November 4, 2018",4,Classix 1331,
"July 4, 2019",1,Suman Devi,it always says invalid email or password even if my password and email is correct I need my assignment sheets from school and tomorrow is the last submission date.I don't know what to do please help me😭😭😭
"January 16, 2019",1,Taylo R.,"It's horrible., slow and not user friendly but I need it for my classes."
"October 10, 2019",4,Floop YT,I cant download pptx files.. is says download failed
"November 12, 2018",1,Kaleigh O,
"November 14, 2018",4,Leo Rosenhagen,
"November 22, 2018",5,A Google user,
"October 31, 2018",1,Cesar Torres,
"July 4, 2019",3,Devin Rice,I really do wish that Schoology had an updated interface.
"January 17, 2020",3,deadlypie 1,
"October 24, 2018",2,Jack Pizziferro,
"November 5, 2019",5,Doge,
"April 20, 2020",1,Wyatt Rust,Almost never worked
"October 20, 2018",4,Trin Prasertmake,
"November 2, 2019",2,Lana Bishow,The app is fine but schoology itself is horrible.
"September 20, 2019",3,Berbagi_ Itu_Indah,
"October 19, 2019",1,Tara Remelt,I get a link that cannot be displayed
"September 15, 2018",5,Zubaer Rashid,
"June 5, 2019",1,Keith Wykoff,I cant even login sucks
"June 25, 2019",2,Khoo Bao Ming,
"January 9, 2019",5,A Google user,I like that it is easy access
"October 1, 2019",5,Smatt 16,It is a good app and is good for classes
"January 28, 2020",5,Daniel Lee-Hassett,I'm using this app to post memes rather than to find out what homework I have today
"February 1, 2020",4,Dashblade Zapper,If they could actually show us grades on the app it would be a five stars
"October 7, 2019",1,Michele Fromm,As a parent it a complete pain in my ass that doesn't work half the time
"August 15, 2019",1,MiaSaraMusic,If I could give no stars I would. I hate that on schoology you have to download the app to see certain documents from teachers .
"January 23, 2020",1,Swag E. Chezze,I hate scholl :((((((((((
"August 10, 2019",1,Cherry Ann Mendoza,course folder unable to load
"November 6, 2019",1,Jessica Brown,Doesnt even work on android
"December 19, 2019",1,Shiloh,
"May 16, 2019",5,g b,Its amazing and it helps me with school!
"October 4, 2018",5,A Google user,
"January 31, 2020",5,Chillienc,It help out with your grades on an assessment
"March 3, 2020",1,Anna Young,
"June 28, 2019",1,SImple,Cannot download anything from this app
"May 1, 2019",2,Nathania Vela,No other courses shown
"October 9, 2019",3,Fatma MD,Nice but unconfortable
"June 27, 2019",5,jhen constantino,useable apps especially in studying
"January 30, 2020",5,max 8107,Good only doing this to stay 👏👏
"December 19, 2019",1,Dar and Vent,I cant sign up !!!!
"May 25, 2019",1,Dionna Collins,i cant sgin in with my username or password from pikesville keeps saying username or password invalid
"December 22, 2019",5,Rosario Bloodlust,It's great for school
"May 22, 2019",4,Louise Taylor,this app is not working for me 😠😠😠😠😠😠😠.
"October 4, 2018",5,Kenna Odekirk,
"December 26, 2019",1,Nikolaus Hindanov,I hate school.
"October 30, 2018",2,Aspen McNally,
"April 29, 2019",5,Okay Awaken,Good school supply.
"October 21, 2018",3,Dalyshka Hernandez Perez,
"October 12, 2019",1,Paula Newton,"Not user friendly. As a parent I want to be immediately directed to what's important...my childrens information. Instead, I get a post from Schoology."
"February 25, 2020",1,Matthew Sylavong,I don't know why but I need an ACC but I have one but don't have a sigh in
"June 4, 2019",5,winter wolf,there was a school night and I was finna get a chance to get to know you better and make it a little more than I can say is that you are you still a little bit of a questio and I will be there at school and I have a few questions about the I will be there at school tomorrow 😊
"July 21, 2019",1,Mahabubur Rahaman,we are from apple tree international school. we cannot open the homeworks and resources from group resources. can you check the matter. this is hampering our children's daily homework.
"February 13, 2019",3,CTmillion,my life sucks. i have this app because of school. idc about it. i just need to get my grade up. forger school and life
"September 13, 2019",1,Hailes Roach,
"December 13, 2018",3,A Google user,
"November 23, 2019",5,Itz TFA,WE BANNED JORDAN
"October 9, 2019",5,Little Guy,This app is gay the only reason i give it 5 stars is because i still need it for my last year of high school. After june of 2020 im finally free from this nightmare
"August 14, 2019",4,Jovelyn Babor,amazing and helpful
"October 11, 2019",3,Khaled B,Interface sucks on android
"August 22, 2019",1,Jennifer Tarleton,
"April 13, 2019",5,ARMY_ BTSfan,"it's really good thing to check your grades, and the assignment of what you've missed in your classes, at ur school.. good job"
"April 1, 2019",5,Ghenet Tv,great i love this so much just awesome
"February 22, 2019",1,Darin Moffett,
"December 26, 2018",5,HenryTFM,
"March 27, 2019",1,A Google user,
"June 13, 2019",5,acgator06 !!*#,it helps me know what is going on at school and keep up with grades.
"January 14, 2019",1,A Google user,You cant even see the materials tab. Where is the materials tab???
"October 17, 2018",1,Big mac,
"October 17, 2019",5,Üpa Öpa,Ite helpful if the schoology on internet is down!.Shoutout to O'Donnell Middle School.
"October 17, 2018",5,A Google user,
"October 16, 2019",5,YT Jocelyn,It's great to ask your teacher a question about your homework
"October 4, 2018",5,A Google user,
"August 10, 2019",4,_.mosthated7,I would have given it a 5 stars but i can't see who's in my classes
"August 22, 2019",1,Seandoe Spurr,Says my password is wrong. I know it is right
"November 20, 2019",5,XxXEZ ClapXxX,It helps me with school work by reminding me.
"October 14, 2019",1,hi,
"September 8, 2019",1,Cooper Snedden,"I could not even log into schoology, otherwise schoology is fine"
"September 16, 2019",5,Lil FlyBoy,"This is for school guys in Highschool,Plus Im Lil Flyboy so You will see me in northridge and im making a song"
"October 13, 2018",1,Morgan Joe,
"November 28, 2018",1,A Google user,
"September 4, 2019",5,Aiden Martin,It is so good 😍😍😍😍😍😍 NO LAG
"October 16, 2018",5,A Google user,
"November 6, 2018",5,Maria Banderas,
"May 27, 2019",2,Pamela Hilley,will not let me login with google
"October 13, 2018",5,EDA YT,
"March 16, 2019",5,Bea's World,I love schoology cause I use the app at my school and I'm always making good grades on my tests
"November 13, 2018",1,Tycoon Gaming,
"September 17, 2018",1,Satan Walrus,
"September 29, 2018",1,A Google user,
"June 19, 2019",1,Akhi Hafiz,Does not show resources on folder
"October 17, 2019",1,Sazzad Mollah,Do not open the class homework section.....
"May 8, 2019",4,Leilany Valdovinos,you get to check your grade.
"November 15, 2018",1,Adam Ubl,
"October 12, 2018",5,A Google user,
"September 29, 2018",5,Susie Flores,
"September 10, 2019",1,Thoki Maria,This is excellent for education
"November 6, 2019",3,Eld Saville,It's good for student to update the lesson
"March 1, 2020",3,Rayan 1,
"May 9, 2019",1,big bubba,I got bad grades because of this
"October 19, 2019",5,Hattie Dietz,Good but its for school so thats why its worse
"September 27, 2018",2,Bumbed out Bee,
"January 28, 2020",3,Ashton Franklin,It's educational i guess
"November 16, 2018",1,Rejine Bustamante,
"May 28, 2019",1,D_E_A_T_H,this app makes life a living hell
"March 2, 2020",4,Mimi Awalite,It awesome only for school tho
"September 23, 2018",1,Ben Canney,
"June 15, 2019",4,Krishia Sumande,how can i put a profile picture
"October 4, 2019",2,Brittany r,Can't get folders to open I'm this app
"November 14, 2018",5,A Google user,
"October 21, 2019",5,bebeblessing,Its an easy way to check ur grades
"October 14, 2018",1,Assassin Wombat,
"November 9, 2018",5,Lessliee M.,
"October 24, 2018",5,A Google user,
"August 14, 2019",3,TheHumies,it's a decent app for school
"March 4, 2020",1,IcY gaming,Its for school
"November 15, 2018",5,Princess Lala TV,
"September 25, 2019",2,Mykylee Downs,Barely shows all of my assignments
"December 11, 2018",1,uqusas L,
"January 24, 2019",5,A Google user,it is great to use for school
"June 16, 2019",5,Santi Widiati,it is really useful
"November 21, 2019",1,ツ,i hate school
"March 8, 2019",5,A Google user,trash got 100 bucks for writing this
"January 23, 2019",5,Addison Tjaden,
"September 14, 2018",1,muhammad abbasi,
"August 19, 2019",1,Zoe Cockrell,it sucks for android.
"January 16, 2020",1,Samuel Campos,I don't like it
"November 16, 2018",5,A Google user,
"January 16, 2020",1,Excellent Axel,h8 this app so much
"September 13, 2018",4,A Google user,
"September 12, 2019",1,Jim Carrey,Not very good
"February 10, 2019",5,A Google user,
"November 30, 2018",5,A Google user,
"November 28, 2018",5,A Google user,
"September 24, 2019",2,Bimo CN,Just like a trash
"May 28, 2019",1,Will Turner,this sucks so does school
"March 26, 2019",1,Jade Meilhammer,i dont like my grades
"September 25, 2018",1,Hector Mendez,
"November 8, 2018",1,A Google user,
"May 21, 2019",5,Foran Ahulk,i like the learning
"September 2, 2019",1,Galazy Gamer,This is bad
"October 25, 2019",1,Richard McDonald,ive never used it
"December 5, 2019",1,sailingwith you,Teachers r mean
"October 10, 2018",5,A Google user,
"October 30, 2018",5,Ma An,
"October 8, 2018",1,A Google user,
"September 20, 2018",5,Keimo McCrea,
"August 18, 2019",4,Josh C,helpful for school
"October 28, 2018",4,A Google user,
"September 23, 2019",5,Jemalyn Maasin,
"October 22, 2019",1,Andi Ilham,i just hate this appp
"October 15, 2018",5,Abood Aradi,
"September 18, 2018",5,A Google user,
"August 30, 2019",2,Nara Gembel,My answers changed
"October 3, 2019",5,Fardowsa Mahamud,Best for learning
"February 7, 2020",1,ansel thebestest,School bad me mad
